Organization,Job/Internship Title,Role Category,Link to Apply or Handshake Job ID,Full-Time ,Internship,Application Deadline if Listed,Date Added to S/S
Apple,SAP Full Stack Developer,Software,https://jobs.apple.com/en-us/details/200674498-3715/sap-full-stack-developer?team=SFTWR,X,,,8/4/26
Apple,SAP BTP Full-Stack Engineer,Software,https://jobs.apple.com/en-us/details/200675157-3715/sap-btp-full-stack-engineer?team=SFTWR,X,,,8/4/26
Alarm,Product Manager II,Product,https://job-boards.greenhouse.io/alarmcom/jobs/8653407002,X,,,8/4/26
Avery Dennison,Product Manager,Product,https://jobs.smartrecruiters.com/AveryDennison/744000141318079-product-manager,X,,,8/4/26
Warner Music Group,Data Scientist,Data,https://wmg.wd1.myworkdayjobs.com/wmgus/job/USA---New-York---1633-Broadway/Data-Scientist_R-028038,X,,,8/4/26
Capital One,"Sr. Associate, Data Scientist ",Data,https://capitalone.wd12.myworkdayjobs.com/capital_one/job/McLean-VA/Senior-Associate--Data-Scientist----Consumer-Credit-Risk-Models-and-Data_R247897-1,X,,,8/4/26
FedEx,Data Scientist I and II (GCP & AI Engineer),Data,https://fedex.paradox.ai/co/FederalExpressCorporation41/Job?job_id=P25-236906-3,X,,,8/4/26
Petco,"Analyst, Business Intelligence",BI/Analytics,https://petco.wd504.myworkdayjobs.com/external/job/NSC/Analyst--Business-Intelligence---Stores---Services_R369042,X,,,8/4/26
Astreya,Business Intelligence Analyst,BI/Analytics,https://astreya.wd5.myworkdayjobs.com/life-at-astreya-opportunities/job/Remote-WA/Business-Intelligence-Analyst_R0016645,X,,8/31/26,8/5/26
University of Utah Health ,Business Intelligence Analyst,BI/Analytics,https://careers-uuhc.icims.com/jobs/85105/business-intelligence-analyst/job?mobile=false&width=850&height=500&bga=true&needsRedirect=false&jan1offset=-300&jun1offset=-240,X,,,8/5/26
ByteDance,Security Software Engineer Graduate,Security,https://joinbytedance.com/search/7668614787018393909,X,,,8/4/26
Erie Insurance,IT Info Security Specialist/Sr.,Security,https://jobs.erieinsurance.com/job/Erie-IT-Info-Security-SpecialistSr-PA-16530/1415219200/,X,,,8/4/26
Capital One,Cyber Security Internship Program,Security,https://capitalone.wd12.myworkdayjobs.com/capital_one/job/McLean-VA/Cyber-Security-Internship-Program---Summer-2027_R244319,,X,,8/4/26
Jane Street,Cybersecurity Analyst Internship,Security,https://www.janestreet.com/join-jane-street/position/8632723002/,,X,,8/4/26
New York Life,"2027 Technology, Data, AI & Ventures Intern",Data,https://careers.newyorklife.com/careers/?query=94552&location=any&domain=newyorklife.com&sort_by=relevance&triggerGoButton=false,,X,,8/6/26
TikTok,Data Science Intern,Data,https://lifeattiktok.com/search/7669682935444900149?utm_source=Simplify,,X,,8/4/26
Boeing,Data Analytics Intern,Data,https://boeing.wd1.myworkdayjobs.com/EXTERNAL_CAREERS/job/USA---Everett-WA/Boeing-Summer-2027-Internship-Program--Paid----Data-Analytics-Intern_JR2026520976-1?utm_source=Simplify&ref=Simplify,,X,10/23/26,8/6/26
EY,Tech Consulting - Cybersecurity Privacy -Identity Verification Engineer - Senior - Location Open,Consulting,https://careers.ey.com/ey/job/Dallas-Tech-Consulting-Cybersecurity-Privacy-Identity-Verification-Engineer-Senior-Location-Open-TX-75219/1413552633/?feedId=337401&utm_source=LinkedInJobPostings&utm_campaign=j2w_linkedin,X,,,8/6/26
Confluence,AI Solutions Architect,AI,https://confluence.pinpointhq.com/postings/d3a9f9ef-08c0-465d-88dd-342362b0df1f,X,,,8/6/26
Accenture,Google Agentic AI Delivery Senior Engineer,Consulting,https://www.accenture.com/us-en/careers/jobdetails?id=R00336595_en&src=LINKEDINJP,X,,,8/6/26
Ellwood,AI Innovation Engineer,AI,https://recruiting.ultipro.com/ELL1002/JobBoard/c52df457-6e46-132d-e53c-62fad57cb087/OpportunityDetail?opportunityId=c4b66c36-b413-4de3-ac39-aea50ed31389&source=LinkedIn,X,,,8/6/26
PNC,Business Analytics Consultant - PNC Wealth Management,Consulting,https://careers.pnc.com/global/en/job/PNC1GLOBALR231855/Business-Analytics-Consultant-PNC-Wealth-Management?utm_source=symphonytalentmpx&utm_medium=phenom-feeds&Codes=11663&source=LinkedIn,X,,,8/6/26
Deloitte,Agentic Capability AI and Data Science Engineer,AI,https://apply.deloitte.com/en_US/careers/InviteToApply?jobId=358006&source=LinkedIn,X,,,8/6/26
ACA Group,Python/AI Product Engineer,AI,https://careers.acaglobal.com/job/Durham-PythonAI-Product-Engineer-NC/1393946300/?utm_source=LINKEDIN&utm_medium=referrer,X,,,8/6/26
pwc,Applied AI Health Data System Engineer-Senior Manager,AI,https://jobs.us.pwc.com/job/-/-/932/94857542832?utm_source=linkedin.com&utm_campaign=core_media&utm_medium=social_media&utm_content=job_posting&ss=paid&gad_source=7&dclid=CMDz_Z3GjJYDFfo3aAgdo9k78w,X,,,8/6/26
Air,Senior Machine Learning Engineer,Machine Learning,https://job-boards.greenhouse.io/air/jobs/4062802009?gh_src=03yn673x9us,X,,,8/6/26
LA Times,Cybersecurity Engineer,Security,https://jobs.dayforcehcm.com/en-US/nantmedia/candidateportal/jobs/1610,X,,,8/12/26
Amex Tech ,Cybersecurity Engineer II ,Security,https://egug.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/26009957,X,,8/18/26,8/12/26
LBMC,IT Audit Staff Consultant - 2027,Security,https://secure8.entertimeonline.com/ta/LBMCPC.careers?ShowJob=721958914,X,,,8/13/26
FanDuel,Data Scientist,Data,https://www.fanduel.careers/jobs/fanduel/data-scientist/?gh_jid=8120545,X,,,8/12/26
Adobe,Data Scientist,Data,https://adobe.wd5.myworkdayjobs.com/external_experienced/job/Seattle/Data-Scientist_R170880-1,X,,,8/12/26
Brighton Jones,Business Intelligence Analyst,BI/Analytics,https://jobs.lever.co/brightonjones/1e35c875-0676-4a5a-b52b-0131c6f40c69,X,,,8/12/26
University of Utah,Business Intelligence Analyst,BI/Analytics,https://utah.peopleadmin.com/postings/206905,X,,,8/12/26
LPL Financial,Summer Intern 2027- Cybersecurity,Security,https://lplfinancial.wd1.myworkdayjobs.com/university/job/Fort-MillCharlotte/Summer-Intern-2027--Cybersecurity_R-052919,,X,9/21/26,8/12/26
